VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,source_file
1,2017-02-23 23:20:12,2017-02-24 00:03:53,N,1,255,84,2,31.0,81.5,0.5,0.5,0.0,11.08,,0.3,93.88,2,1,,green_tripdata_2017-02.parquet
1,2017-02-24 21:24:24,2017-02-24 21:46:03,N,1,22,156,2,11.2,32.0,0.5,0.5,0.0,11.08,,0.3,44.38,1,1,,green_tripdata_2017-02.parquet
2,2017-02-25 01:56:10,2017-02-25 02:21:16,N,1,25,221,2,11.72,33.5,0.5,0.5,0.0,11.08,,0.3,45.88,1,1,,green_tripdata_2017-02.parquet
1,2017-02-25 03:53:43,2017-02-25 04:43:37,N,1,17,172,2,21.9,62.0,0.5,0.5,0.0,11.08,,0.3,74.38,4,1,,green_tripdata_2017-02.parquet
2,2017-02-26 22:56:39,2017-02-26 23:21:23,N,1,97,221,2,11.92,35.0,0.5,0.5,0.0,11.08,,0.3,47.38,2,1,,green_tripdata_2017-02.parquet
1,2017-06-01 02:55:27,2017-06-01 03:19:45,N,1,179,78,2,8.2,27.0,0.5,0.5,0.0,11.82,,0.3,40.12,3,1,,green_tripdata_2017-06.parquet
1,2017-10-01 10:15:37,2017-10-01 10:28:33,N,1,243,74,2,4.7,15.5,0.5,0.5,0.0,0.02,,0.3,16.82,4,1,,green_tripdata_2017-10.parquet
1,2017-09-28 01:20:24,2017-09-28 01:48:33,N,1,173,116,2,9.2,30.5,0.5,0.5,0.0,10.76,,0.3,42.56,3,1,,green_tripdata_2017-09.parquet
2,2017-03-15 21:29:47,2017-03-15 21:40:37,N,1,225,97,2,1.93,9.5,0.5,0.5,0.0,0.5,,0.3,11.3,1,1,,green_tripdata_2017-03.parquet
1,2017-03-25 23:07:07,2017-03-25 23:26:26,N,1,51,174,2,3.5,15.0,0.5,0.5,0.0,2.0,,0.3,18.3,1,1,,green_tripdata_2017-03.parquet
2,2017-05-06 21:16:49,2017-05-06 21:49:39,N,1,94,129,2,10.7,35.5,0.5,0.5,0.0,5.77,,0.3,42.57,1,1,,green_tripdata_2017-05.parquet
1,2017-05-22 00:11:46,2017-05-22 01:06:34,N,1,42,39,2,30.7,82.5,0.5,0.5,0.0,8.5,,0.3,92.3,1,1,,green_tripdata_2017-05.parquet
2,2017-01-06 02:54:48,2017-01-06 03:24:46,N,1,117,196,2,12.27,36.5,0.5,0.5,0.0,2.08,,0.3,39.88,1,1,,green_tripdata_2017-01.parquet
2,2017-01-21 05:27:53,2017-01-21 06:04:27,N,1,255,220,2,16.77,45.0,0.5,0.5,0.0,8.08,,0.3,54.38,1,1,,green_tripdata_2017-01.parquet
1,2017-01-28 04:41:46,2017-01-28 05:10:45,N,1,102,243,2,18.3,49.0,0.5,0.5,0.0,10.54,,0.3,60.84,1,1,,green_tripdata_2017-01.parquet
1,2017-02-12 20:42:40,2017-02-12 22:03:18,N,1,17,17,2,29.0,86.5,0.5,0.5,0.0,4.16,,0.3,91.96,1,1,,green_tripdata_2017-02.parquet
2,2017-12-22 03:03:15,2017-12-22 03:26:11,N,1,82,116,2,9.15,28.0,0.5,0.5,0.0,13.68,,0.3,42.98,1,1,,green_tripdata_2017-12.parquet
2,2017-09-19 22:46:36,2017-09-19 23:02:49,N,1,74,226,2,7.56,23.0,0.5,0.5,0.0,8.5,,0.3,32.8,1,1,,green_tripdata_2017-09.parquet
2,2017-09-24 02:33:36,2017-09-24 02:57:26,N,1,40,71,2,5.19,20.0,0.5,0.5,0.0,2.0,,0.3,23.3,1,1,,green_tripdata_2017-09.parquet
2,2017-09-30 02:10:26,2017-09-30 02:29:30,N,1,49,71,2,4.61,17.0,0.5,0.5,0.0,1.5,,0.3,19.8,1,1,,green_tripdata_2017-09.parquet
2,2017-11-01 05:55:22,2017-11-01 06:52:23,N,1,165,17,2,10.82,42.5,0.5,0.5,0.0,25.0,,0.3,68.8,1,1,,green_tripdata_2017-11.parquet
2,2017-11-16 20:56:41,2017-11-16 21:35:00,N,1,25,35,2,7.15,28.0,0.5,0.5,0.0,65.8,,0.3,95.1,1,1,,green_tripdata_2017-11.parquet
2,2017-11-19 00:20:23,2017-11-19 01:11:40,N,1,3,201,2,26.2,72.5,0.5,0.5,0.0,7.92,,0.3,81.72,1,1,,green_tripdata_2017-11.parquet
1,2017-03-19 03:06:21,2017-03-19 03:29:30,N,1,244,241,2,11.6,33.0,0.5,0.5,0.0,21.0,,0.3,55.3,2,1,,green_tripdata_2017-03.parquet
2,2017-04-08 05:51:40,2017-04-08 06:12:07,N,1,166,138,2,7.48,24.5,0.5,0.5,0.0,8.0,,0.3,33.8,2,1,,green_tripdata_2017-04.parquet
2,2017-04-21 23:35:43,2017-04-22 00:12:55,N,1,83,244,2,9.69,36.5,0.5,0.5,0.0,9.0,,0.3,46.8,2,1,,green_tripdata_2017-04.parquet
1,2017-05-19 23:01:35,2017-05-19 23:32:51,N,1,20,98,2,14.3,41.0,0.5,0.5,0.0,5.75,,0.3,48.05,2,1,,green_tripdata_2017-05.parquet
2,2017-05-23 22:42:29,2017-05-23 23:37:01,N,1,255,68,2,14.54,49.0,0.5,0.5,0.0,21.0,,0.3,71.3,2,1,,green_tripdata_2017-05.parquet
2,2017-05-28 23:21:57,2017-05-29 00:56:52,N,1,127,132,2,41.94,122.0,0.5,0.5,0.0,10.5,,0.3,137.7,2,1,,green_tripdata_2017-05.parquet
2,2017-01-07 21:07:19,2017-01-07 21:45:45,N,1,196,117,2,12.98,40.0,0.5,0.5,0.0,2.08,,0.3,43.38,2,1,,green_tripdata_2017-01.parquet
2,2017-01-12 21:55:04,2017-01-12 22:28:41,N,1,196,117,2,12.62,38.5,0.5,0.5,0.0,2.08,,0.3,41.88,2,1,,green_tripdata_2017-01.parquet
1,2017-01-21 23:51:49,2017-01-22 00:38:35,N,1,255,117,2,17.6,52.5,0.5,0.5,0.0,2.08,,0.3,55.88,2,1,,green_tripdata_2017-01.parquet
1,2017-01-01 01:41:49,2017-01-01 01:57:05,N,1,247,129,2,7.6,22.5,0.5,0.5,0.0,8.0,,0.3,31.8,2,1,,green_tripdata_2017-01.parquet
2,2017-01-10 20:48:24,2017-01-10 21:32:25,N,1,152,6,2,19.67,56.0,0.5,0.5,0.0,16.62,,0.3,73.92,2,1,,green_tripdata_2017-01.parquet
1,2017-01-16 04:56:07,2017-01-16 05:23:57,N,1,34,1,2,17.6,47.5,0.5,0.5,0.0,11.7,,0.3,60.5,2,1,,green_tripdata_2017-01.parquet
1,2017-01-26 23:33:55,2017-01-26 23:54:26,N,1,112,68,2,4.8,18.0,0.5,0.5,0.0,95.54,,0.3,114.84,2,1,,green_tripdata_2017-01.parquet
1,2017-02-08 04:08:14,2017-02-08 04:40:37,N,1,129,247,2,9.8,33.0,0.5,0.5,0.0,11.0,,0.3,45.3,2,1,,green_tripdata_2017-02.parquet
2,2017-02-10 21:19:14,2017-02-10 22:11:59,N,1,181,117,2,15.35,49.0,0.5,0.5,0.0,2.08,,0.3,52.38,2,1,,green_tripdata_2017-02.parquet
1,2017-02-13 23:54:42,2017-02-14 00:43:05,N,1,255,201,2,12.1,45.5,0.5,0.5,0.0,2.0,,0.3,48.8,2,1,,green_tripdata_2017-02.parquet
1,2017-10-13 01:20:48,2017-10-13 01:32:59,N,1,264,170,2,3.5,13.0,0.5,0.5,0.0,95.44,,0.3,109.74,2,1,,green_tripdata_2017-10.parquet
1,2017-10-20 15:42:12,2017-10-20 17:16:25,N,1,75,206,2,22.5,75.0,0.5,0.5,0.0,17.28,,0.3,93.58,2,1,,green_tripdata_2017-10.parquet
1,2017-10-28 23:15:35,2017-10-28 23:35:19,N,1,129,69,2,7.9,24.5,0.5,0.5,0.0,12.0,,0.3,37.8,2,1,,green_tripdata_2017-10.parquet
1,2017-07-22 01:13:44,2017-07-22 01:42:45,N,1,82,29,2,20.1,53.5,0.5,0.5,0.0,10.5,,0.3,65.3,2,1,,green_tripdata_2017-07.parquet
2,2017-12-19 23:14:50,2017-12-19 23:28:55,N,1,196,258,2,3.46,13.5,0.5,0.5,0.0,2.0,,0.3,16.8,2,1,,green_tripdata_2017-12.parquet
2,2017-09-04 01:28:39,2017-09-04 01:44:42,N,1,41,223,2,5.36,17.5,0.5,0.5,0.0,8.5,,0.3,27.3,2,1,,green_tripdata_2017-09.parquet
2,2017-09-04 01:59:21,2017-09-04 02:11:02,N,1,223,167,2,4.59,14.5,0.5,0.5,0.0,8.5,,0.3,24.3,2,1,,green_tripdata_2017-09.parquet
1,2017-09-07 23:54:23,2017-09-08 00:12:50,N,1,129,198,2,5.3,18.5,0.5,0.5,0.0,2.0,,0.3,21.8,2,1,,green_tripdata_2017-09.parquet
1,2017-09-10 00:57:24,2017-09-10 01:18:36,N,1,129,248,2,9.4,27.5,0.5,0.5,0.0,10.76,,0.3,39.56,2,1,,green_tripdata_2017-09.parquet
2,2017-09-11 00:39:24,2017-09-11 01:02:56,N,1,152,92,2,10.41,30.5,0.5,0.5,0.0,8.5,,0.3,40.3,2,1,,green_tripdata_2017-09.parquet
2,2017-09-15 22:49:35,2017-09-15 23:10:47,N,1,256,179,2,6.93,23.0,0.5,0.5,0.0,10.5,,0.3,34.8,2,1,,green_tripdata_2017-09.parquet
1,2017-03-09 10:26:45,2017-03-09 11:07:14,N,1,82,18,2,12.4,39.0,0.0,0.5,0.0,8.0,,0.3,47.8,2,1,,green_tripdata_2017-03.parquet
1,2017-03-10 14:25:51,2017-03-10 15:09:31,N,1,82,117,2,12.0,40.5,0.0,0.5,0.0,2.08,,0.3,43.38,2,1,,green_tripdata_2017-03.parquet
2,2017-07-13 12:46:17,2017-07-13 13:26:04,N,1,82,117,2,11.71,38.5,0.0,0.5,0.0,2.16,,0.3,41.46,2,1,,green_tripdata_2017-07.parquet
1,2017-07-20 13:42:04,2017-07-20 13:50:29,N,1,82,129,2,2.4,9.5,0.0,0.5,0.0,2.0,,0.3,12.3,2,1,,green_tripdata_2017-07.parquet
